channel_name
"G 10_Positive-Sequence, Reactive Power in Mvar"
NSG_1_Active Power in MW
NSG_2_Active Power in MW
NSG_3_Active Power in MW
NSG_1_Reactive Power in Mvar
NSG_2_Reactive Power in Mvar
NSG_3_Reactive Power in Mvar
B_L03_Electrical Frequency in p.u.
B_L04_Electrical Frequency in p.u.
B_L07_Electrical Frequency in p.u.
B_L08_Electrical Frequency in p.u.
B_L12_Electrical Frequency in p.u.
B_L15_Electrical Frequency in p.u.
B_L16_Electrical Frequency in p.u.
B_L18_Electrical Frequency in p.u.
B_L20_Electrical Frequency in p.u.
B_L21_Electrical Frequency in p.u.
B_L23_Electrical Frequency in p.u.
B_L24_Electrical Frequency in p.u.
B_L25_Electrical Frequency in p.u.
B_L26_Electrical Frequency in p.u.
B_L27_Electrical Frequency in p.u.
B_L28_Electrical Frequency in p.u.
B_L29_Electrical Frequency in p.u.
G 01_Excitation Current (non-reciprocal p.u. system) in p.u.
G 02_Excitation Current (non-reciprocal p.u. system) in p.u.
G 03_Excitation Current (non-reciprocal p.u. system) in p.u.
G 04_Excitation Current (non-reciprocal p.u. system) in p.u.
G 05_Excitation Current (non-reciprocal p.u. system) in p.u.
G 06_Excitation Current (non-reciprocal p.u. system) in p.u.
G 07_Excitation Current (non-reciprocal p.u. system) in p.u.
G 08_Excitation Current (non-reciprocal p.u. system) in p.u.
G 09_Excitation Current (non-reciprocal p.u. system) in p.u.
G 10_Excitation Current (non-reciprocal p.u. system) in p.u.
"Trf Load_03_Tap 1, Current Position"
"Trf Load_04_Tap 1, Current Position"
"Trf Load_07_Tap 1, Current Position"
"Trf Load_08_Tap 1, Current Position"
"Trf Load_12_Tap 1, Current Position"
"Trf Load_15_Tap 1, Current Position"
"Trf Load_16_Tap 1, Current Position"
"Trf Load_18_Tap 1, Current Position"
"Trf Load_20_Tap 1, Current Position"
"Trf Load_21_Tap 1, Current Position"
"Trf Load_23_Tap 1, Current Position"
"Trf Load_24_Tap 1, Current Position"
"Trf Load_25_Tap 1, Current Position"
"Trf Load_26_Tap 1, Current Position"
"Trf Load_27_Tap 1, Current Position"
"Trf Load_28_Tap 1, Current Position"
"Trf Load_29_Tap 1, Current Position"
Line 01 - 02_Total Active Power/Terminal i in MW
Line 01 - 39_Total Active Power/Terminal i in MW
Line 02 - 03_Total Active Power/Terminal i in MW
Line 02 - 25_Total Active Power/Terminal i in MW
Line 03 - 04_Total Active Power/Terminal i in MW
Line 03 - 18_Total Active Power/Terminal i in MW
Line 04 - 05_Total Active Power/Terminal i in MW
Line 04 - 14_Total Active Power/Terminal i in MW
Line 05 - 06_Total Active Power/Terminal i in MW
Line 05 - 08_Total Active Power/Terminal i in MW
Line 06 - 07_Total Active Power/Terminal i in MW
Line 06 - 11_Total Active Power/Terminal i in MW
Line 07 - 08_Total Active Power/Terminal i in MW
Line 08 - 09_Total Active Power/Terminal i in MW
Line 09 - 39_Total Active Power/Terminal i in MW
Line 10 - 11_Total Active Power/Terminal i in MW
Line 10 - 13_Total Active Power/Terminal i in MW
Line 13 - 14_Total Active Power/Terminal i in MW
Line 14 - 15_Total Active Power/Terminal i in MW
Line 15 - 16_Total Active Power/Terminal i in MW
Line 16 - 17_Total Active Power/Terminal i in MW
Line 16 - 19_Total Active Power/Terminal i in MW
Line 16 - 21_Total Active Power/Terminal i in MW
Line 16 - 24_Total Active Power/Terminal i in MW
Line 17 - 18_Total Active Power/Terminal i in MW
Line 17 - 27_Total Active Power/Terminal i in MW
Line 21 - 22_Total Active Power/Terminal i in MW
Line 22 - 23_Total Active Power/Terminal i in MW
Line 23 - 24_Total Active Power/Terminal i in MW
Line 25 - 26_Total Active Power/Terminal i in MW
Line 26 - 27_Total Active Power/Terminal i in MW
Line 26 - 28_Total Active Power/Terminal i in MW
Line 26 - 29_Total Active Power/Terminal i in MW
Line 28 - 29_Total Active Power/Terminal i in MW
Line 01 - 02_Total Reactive Power/Terminal i in Mvar
Line 01 - 39_Total Reactive Power/Terminal i in Mvar
Line 02 - 03_Total Reactive Power/Terminal i in Mvar
