simulation,faulted_line,first_cascade_time,first_cascade_component,first_cascade_reason,num_cascade_events
Line 01 - 02_load=1.0341_wind=0.0738_0.0119_0.9425,Line 01 - 02,2.12,Line 08 - 09DR1,,4
Line 01 - 39_load=1.0341_wind=0.0738_0.0119_0.9425,Line 01 - 39,2.87,G 02,UV,5
Line 02 - 03_load=1.0341_wind=0.0738_0.0119_0.9425,Line 02 - 03,1.54,Line 01 - 39DR2,,5
Line 02 - 25_load=1.0341_wind=0.0738_0.0119_0.9425,Line 02 - 25,2.2,NSG_2,OverVoltage,1
Line 08 - 09_load=1.0341_wind=0.0738_0.0119_0.9425,Line 08 - 09,4.65,Line 01 - 39DR2,,3
Line 09 - 39_load=1.0341_wind=0.0738_0.0119_0.9425,Line 09 - 39,2.39,Line 01 - 39DR2,,3
Line 15 - 16_load=1.0341_wind=0.0738_0.0119_0.9425,Line 15 - 16,2.05,NSG_2,OverVoltage,1
Line 16 - 19_load=1.0341_wind=0.0738_0.0119_0.9425,Line 16 - 19,1.88,G 04,Over-Speed,20
Line 21 - 22_load=1.0341_wind=0.0738_0.0119_0.9425,Line 21 - 22,2.39,NSG_2,OverVoltage,1
Line 28 - 29_load=1.0341_wind=0.0738_0.0119_0.9425,Line 28 - 29,1.71,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9454_wind=0.0282_0.601_0.1922,Line 01 - 02,1.68,Line 08 - 09DR1,,3
Line 02 - 03_load=0.9454_wind=0.0282_0.601_0.1922,Line 02 - 03,3.11,Line 01 - 39DR2,,4
Line 02 - 25_load=0.9454_wind=0.0282_0.601_0.1922,Line 02 - 25,2.24,NSG_2,OverVoltage,18
Line 03 - 04_load=0.9454_wind=0.0282_0.601_0.1922,Line 03 - 04,1.47,Line 01 - 39DR2,,4
Line 04 - 05_load=0.9454_wind=0.0282_0.601_0.1922,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 06_load=0.9454_wind=0.0282_0.601_0.1922,Line 05 - 06,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9454_wind=0.0282_0.601_0.1922,Line 05 - 08,1.46,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9454_wind=0.0282_0.601_0.1922,Line 06 - 07,1.46,Line 01 - 39DR2,,5
Line 06 - 11_load=0.9454_wind=0.0282_0.601_0.1922,Line 06 - 11,3.1,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9454_wind=0.0282_0.601_0.1922,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9454_wind=0.0282_0.601_0.1922,Line 08 - 09,1.98,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9454_wind=0.0282_0.601_0.1922,Line 09 - 39,2.18,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9454_wind=0.0282_0.601_0.1922,Line 10 - 11,3.04,Line 01 - 39DR2,,4
Line 10 - 13_load=0.9454_wind=0.0282_0.601_0.1922,Line 10 - 13,1.46,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9454_wind=0.0282_0.601_0.1922,Line 13 - 14,1.47,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9454_wind=0.0282_0.601_0.1922,Line 15 - 16,2.12,NSG_2,OverVoltage,1
Line 16 - 17_load=0.9454_wind=0.0282_0.601_0.1922,Line 16 - 17,1.97,Line 01 - 39DR2,,5
Line 16 - 19_load=0.9454_wind=0.0282_0.601_0.1922,Line 16 - 19,1.76,G 05,Over-Speed,17
Line 16 - 21_load=0.9454_wind=0.0282_0.601_0.1922,Line 16 - 21,2.15,NSG_2,OverVoltage,1
Line 16 - 24_load=0.9454_wind=0.0282_0.601_0.1922,Line 16 - 24,2.11,NSG_2,OverVoltage,1
Line 17 - 18_load=0.9454_wind=0.0282_0.601_0.1922,Line 17 - 18,2.14,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9454_wind=0.0282_0.601_0.1922,Line 21 - 22,2.04,Line 23 - 24DR2,,51
Line 25 - 26_load=0.9454_wind=0.0282_0.601_0.1922,Line 25 - 26,2.17,NSG_2,OverVoltage,1
Line 26 - 28_load=0.9454_wind=0.0282_0.601_0.1922,Line 26 - 28,2.3,NSG_2,OverVoltage,1
Line 26 - 29_load=0.9454_wind=0.0282_0.601_0.1922,Line 26 - 29,2.34,NSG_2,OverVoltage,1
Line 28 - 29_load=0.9454_wind=0.0282_0.601_0.1922,Line 28 - 29,1.66,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0107_wind=0.831_0.3201_0.0963,Line 01 - 02,1.72,Line 08 - 09DR1,,3
Line 01 - 39_load=1.0107_wind=0.831_0.3201_0.0963,Line 01 - 39,1.87,Line 08 - 09DR1,,4
Line 02 - 25_load=1.0107_wind=0.831_0.3201_0.0963,Line 02 - 25,2.22,NSG_2,OverVoltage,14
Line 03 - 04_load=1.0107_wind=0.831_0.3201_0.0963,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 04 - 05_load=1.0107_wind=0.831_0.3201_0.0963,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 06_load=1.0107_wind=0.831_0.3201_0.0963,Line 05 - 06,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=1.0107_wind=0.831_0.3201_0.0963,Line 05 - 08,1.47,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0107_wind=0.831_0.3201_0.0963,Line 06 - 07,1.46,Line 01 - 39DR2,,5
Line 06 - 11_load=1.0107_wind=0.831_0.3201_0.0963,Line 06 - 11,3.08,Line 01 - 39DR2,,4
Line 07 - 08_load=1.0107_wind=0.831_0.3201_0.0963,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=1.0107_wind=0.831_0.3201_0.0963,Line 08 - 09,2.09,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0107_wind=0.831_0.3201_0.0963,Line 09 - 39,2.39,Line 01 - 02DR1,,4
Line 10 - 11_load=1.0107_wind=0.831_0.3201_0.0963,Line 10 - 11,3.07,Line 01 - 39DR2,,5
Line 10 - 13_load=1.0107_wind=0.831_0.3201_0.0963,Line 10 - 13,1.62,Line 01 - 39DR2,,5
Line 13 - 14_load=1.0107_wind=0.831_0.3201_0.0963,Line 13 - 14,1.61,Line 01 - 39DR2,,5
Line 15 - 16_load=1.0107_wind=0.831_0.3201_0.0963,Line 15 - 16,2.07,NSG_2,OverVoltage,5
Line 16 - 17_load=1.0107_wind=0.831_0.3201_0.0963,Line 16 - 17,2.32,NSG_2,OverVoltage,1
Line 16 - 19_load=1.0107_wind=0.831_0.3201_0.0963,Line 16 - 19,1.85,G 04,Over-Speed,18
Line 16 - 21_load=1.0107_wind=0.831_0.3201_0.0963,Line 16 - 21,2.18,NSG_2,OverVoltage,1
Line 21 - 22_load=1.0107_wind=0.831_0.3201_0.0963,Line 21 - 22,2.26,Line 23 - 24DR2,,77
Line 26 - 29_load=1.0107_wind=0.831_0.3201_0.0963,Line 26 - 29,2.35,NSG_2,OverVoltage,1
Line 28 - 29_load=1.0107_wind=0.831_0.3201_0.0963,Line 28 - 29,1.68,Line 26 - 29DR1,,19
Line 05 - 06_load=1.1971_wind=0.2398_0.6412_0.8473,Line 05 - 06,1.09,Line 04 - 05DR1,,2
Line 16 - 19_load=1.1971_wind=0.2398_0.6412_0.8473,Line 16 - 19,2.35,G 05,Over-Speed,18
Line 28 - 29_load=1.1971_wind=0.2398_0.6412_0.8473,Line 28 - 29,1.84,Line 26 - 29DR1,,19
Line 09 - 39_load=1.1359_wind=0.3071_0.4466_0.9752,Line 09 - 39,1.86,Line 01 - 39DR2,,2
Line 16 - 19_load=1.1359_wind=0.3071_0.4466_0.9752,Line 16 - 19,2.11,G 05,Over-Speed,18
Line 28 - 29_load=1.1359_wind=0.3071_0.4466_0.9752,Line 28 - 29,1.77,Line 26 - 29DR1,,19
Line 01 - 02_load=0.8363_wind=0.6895_0.0241_0.7235,Line 01 - 02,1.93,Line 08 - 09DR1,,4
Line 01 - 39_load=0.8363_wind=0.6895_0.0241_0.7235,Line 01 - 39,2.11,Line 08 - 09DR1,,4
Line 02 - 25_load=0.8363_wind=0.6895_0.0241_0.7235,Line 02 - 25,2.15,NSG_2,OverVoltage,1
Line 08 - 09_load=0.8363_wind=0.6895_0.0241_0.7235,Line 08 - 09,2.47,Line 01 - 02DR1,,4
Line 09 - 39_load=0.8363_wind=0.6895_0.0241_0.7235,Line 09 - 39,2.86,Line 01 - 39DR2,,3
Line 15 - 16_load=0.8363_wind=0.6895_0.0241_0.7235,Line 15 - 16,1.64,Line 01 - 39DR2,,4
Line 16 - 17_load=0.8363_wind=0.6895_0.0241_0.7235,Line 16 - 17,2.36,NSG_2,OverVoltage,1
Line 16 - 19_load=0.8363_wind=0.6895_0.0241_0.7235,Line 16 - 19,1.81,G 05,Over-Speed,1
Line 16 - 21_load=0.8363_wind=0.6895_0.0241_0.7235,Line 16 - 21,2.23,NSG_2,OverVoltage,1
