simulation,faulted_line,first_cascade_time,first_cascade_component,first_cascade_reason,num_cascade_events
Line 01 - 02_load=0.9784_wind=0.365_0.8582_0.3085,Line 01 - 02,1.66,Line 08 - 09DR1,,3
Line 01 - 39_load=0.9784_wind=0.365_0.8582_0.3085,Line 01 - 39,2.05,NSG_2,OverVoltage,3
Line 02 - 03_load=0.9784_wind=0.365_0.8582_0.3085,Line 02 - 03,3.13,Line 01 - 39DR2,,4
Line 02 - 25_load=0.9784_wind=0.365_0.8582_0.3085,Line 02 - 25,2.24,NSG_2,OverVoltage,80
Line 03 - 04_load=0.9784_wind=0.365_0.8582_0.3085,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9784_wind=0.365_0.8582_0.3085,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 06_load=0.9784_wind=0.365_0.8582_0.3085,Line 05 - 06,3.07,Line 01 - 39DR2,,4
Line 05 - 08_load=0.9784_wind=0.365_0.8582_0.3085,Line 05 - 08,3.01,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9784_wind=0.365_0.8582_0.3085,Line 06 - 07,3.04,Line 01 - 39DR2,,4
Line 06 - 11_load=0.9784_wind=0.365_0.8582_0.3085,Line 06 - 11,3.1,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9784_wind=0.365_0.8582_0.3085,Line 07 - 08,3.02,Line 01 - 39DR2,,4
Line 08 - 09_load=0.9784_wind=0.365_0.8582_0.3085,Line 08 - 09,1.89,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9784_wind=0.365_0.8582_0.3085,Line 09 - 39,2.02,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9784_wind=0.365_0.8582_0.3085,Line 10 - 11,3.07,Line 01 - 39DR2,,4
Line 15 - 16_load=0.9784_wind=0.365_0.8582_0.3085,Line 15 - 16,2.16,NSG_2,OverVoltage,21
Line 16 - 17_load=0.9784_wind=0.365_0.8582_0.3085,Line 16 - 17,2.13,Line 01 - 39DR2,,22
Line 16 - 19_load=0.9784_wind=0.365_0.8582_0.3085,Line 16 - 19,1.8,G 04,Over-Speed,18
Line 16 - 21_load=0.9784_wind=0.365_0.8582_0.3085,Line 16 - 21,2.18,NSG_2,OverVoltage,18
Line 16 - 24_load=0.9784_wind=0.365_0.8582_0.3085,Line 16 - 24,2.17,NSG_2,OverVoltage,18
Line 17 - 18_load=0.9784_wind=0.365_0.8582_0.3085,Line 17 - 18,2.19,NSG_2,OverVoltage,18
Line 23 - 24_load=0.9784_wind=0.365_0.8582_0.3085,Line 23 - 24,3.16,Line 01 - 39DR2,,4
Line 25 - 26_load=0.9784_wind=0.365_0.8582_0.3085,Line 25 - 26,2.21,NSG_2,OverVoltage,18
Line 26 - 28_load=0.9784_wind=0.365_0.8582_0.3085,Line 26 - 28,2.31,NSG_2,OverVoltage,18
Line 26 - 29_load=0.9784_wind=0.365_0.8582_0.3085,Line 26 - 29,2.35,NSG_2,OverVoltage,18
Line 28 - 29_load=0.9784_wind=0.365_0.8582_0.3085,Line 28 - 29,1.66,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1384_wind=0.216_0.0541_0.2731,Line 16 - 19,2.11,G 05,Over-Speed,18
Line 28 - 29_load=1.1384_wind=0.216_0.0541_0.2731,Line 28 - 29,1.85,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1672_wind=0.1772_0.2724_0.5643,Line 16 - 19,2.2,G 05,Over-Speed,18
Line 28 - 29_load=1.1672_wind=0.1772_0.2724_0.5643,Line 28 - 29,1.83,Line 26 - 29DR1,,19
Line 01 - 02_load=0.8336_wind=0.0037_0.4908_0.6704,Line 01 - 02,1.88,Line 08 - 09DR1,,4
Line 01 - 39_load=0.8336_wind=0.0037_0.4908_0.6704,Line 01 - 39,2.04,Line 08 - 09DR1,,4
Line 02 - 03_load=0.8336_wind=0.0037_0.4908_0.6704,Line 02 - 03,1.45,Line 01 - 39DR2,,5
Line 02 - 25_load=0.8336_wind=0.0037_0.4908_0.6704,Line 02 - 25,2.13,NSG_2,OverVoltage,1
Line 08 - 09_load=0.8336_wind=0.0037_0.4908_0.6704,Line 08 - 09,2.58,Line 01 - 02DR1,,4
Line 09 - 39_load=0.8336_wind=0.0037_0.4908_0.6704,Line 09 - 39,2.8,Line 01 - 39DR2,,3
Line 15 - 16_load=0.8336_wind=0.0037_0.4908_0.6704,Line 15 - 16,2.06,NSG_2,OverVoltage,1
Line 16 - 17_load=0.8336_wind=0.0037_0.4908_0.6704,Line 16 - 17,2.3,NSG_2,OverVoltage,1
Line 16 - 19_load=0.8336_wind=0.0037_0.4908_0.6704,Line 16 - 19,1.77,G 05,Over-Speed,1
Line 16 - 21_load=0.8336_wind=0.0037_0.4908_0.6704,Line 16 - 21,2.15,NSG_2,OverVoltage,1
Line 17 - 18_load=0.8336_wind=0.0037_0.4908_0.6704,Line 17 - 18,2.14,NSG_2,OverVoltage,1
Line 21 - 22_load=0.8336_wind=0.0037_0.4908_0.6704,Line 21 - 22,2.27,NSG_2,OverVoltage,1
Line 26 - 29_load=0.8336_wind=0.0037_0.4908_0.6704,Line 26 - 29,2.34,NSG_2,OverVoltage,1
Line 28 - 29_load=0.8336_wind=0.0037_0.4908_0.6704,Line 28 - 29,2.28,NSG_2,OverVoltage,1
Line 01 - 02_load=0.823_wind=0.6228_0.7724_0.1078,Line 01 - 02,1.89,Line 08 - 09DR1,,4
Line 01 - 39_load=0.823_wind=0.6228_0.7724_0.1078,Line 01 - 39,2.03,Line 08 - 09DR1,,4
Line 02 - 25_load=0.823_wind=0.6228_0.7724_0.1078,Line 02 - 25,2.17,NSG_2,OverVoltage,1
Line 08 - 09_load=0.823_wind=0.6228_0.7724_0.1078,Line 08 - 09,2.95,Line 01 - 39DR2,,3
Line 09 - 39_load=0.823_wind=0.6228_0.7724_0.1078,Line 09 - 39,2.66,Line 01 - 39DR2,,3
Line 15 - 16_load=0.823_wind=0.6228_0.7724_0.1078,Line 15 - 16,2.11,NSG_2,OverVoltage,1
Line 16 - 17_load=0.823_wind=0.6228_0.7724_0.1078,Line 16 - 17,2.48,NSG_2,OverVoltage,1
Line 16 - 19_load=0.823_wind=0.6228_0.7724_0.1078,Line 16 - 19,1.81,G 05,Over-Speed,1
Line 28 - 29_load=0.823_wind=0.6228_0.7724_0.1078,Line 28 - 29,2.27,NSG_2,OverVoltage,1
Line 01 - 02_load=1.1076_wind=0.4452_0.4663_0.833,Line 01 - 02,2.24,Line 08 - 09DR1,,4
Line 01 - 39_load=1.1076_wind=0.4452_0.4663_0.833,Line 01 - 39,3.24,NSG_2,OverVoltage,4
Line 02 - 03_load=1.1076_wind=0.4452_0.4663_0.833,Line 02 - 03,1.56,Line 01 - 39DR2,,5
Line 08 - 09_load=1.1076_wind=0.4452_0.4663_0.833,Line 08 - 09,4.63,Line 01 - 39DR2,,3
Line 09 - 39_load=1.1076_wind=0.4452_0.4663_0.833,Line 09 - 39,2.39,Line 01 - 39DR2,,3
Line 16 - 19_load=1.1076_wind=0.4452_0.4663_0.833,Line 16 - 19,2.03,G 05,Over-Speed,18
Line 21 - 22_load=1.1076_wind=0.4452_0.4663_0.833,Line 21 - 22,2.41,NSG_2,OverVoltage,18
Line 28 - 29_load=1.1076_wind=0.4452_0.4663_0.833,Line 28 - 29,1.74,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9_wind=0.669_0.2119_0.3656,Line 01 - 02,1.79,Line 08 - 09DR1,,4
Line 01 - 39_load=0.9_wind=0.669_0.2119_0.3656,Line 01 - 39,1.91,Line 08 - 09DR1,,4
Line 02 - 03_load=0.9_wind=0.669_0.2119_0.3656,Line 02 - 03,1.46,Line 01 - 39DR2,,5
Line 02 - 25_load=0.9_wind=0.669_0.2119_0.3656,Line 02 - 25,2.17,NSG_2,OverVoltage,1
Line 03 - 04_load=0.9_wind=0.669_0.2119_0.3656,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9_wind=0.669_0.2119_0.3656,Line 05 - 08,1.59,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9_wind=0.669_0.2119_0.3656,Line 06 - 07,1.59,Line 01 - 39DR2,,5
Line 07 - 08_load=0.9_wind=0.669_0.2119_0.3656,Line 07 - 08,1.62,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9_wind=0.669_0.2119_0.3656,Line 08 - 09,2.09,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9_wind=0.669_0.2119_0.3656,Line 09 - 39,2.29,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9_wind=0.669_0.2119_0.3656,Line 10 - 11,1.61,Line 01 - 39DR2,,5
Line 14 - 15_load=0.9_wind=0.669_0.2119_0.3656,Line 14 - 15,1.62,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9_wind=0.669_0.2119_0.3656,Line 15 - 16,2.05,NSG_2,OverVoltage,1
Line 16 - 17_load=0.9_wind=0.669_0.2119_0.3656,Line 16 - 17,2.28,NSG_2,OverVoltage,1
Line 16 - 19_load=0.9_wind=0.669_0.2119_0.3656,Line 16 - 19,1.8,G 05,Over-Speed,17
Line 16 - 21_load=0.9_wind=0.669_0.2119_0.3656,Line 16 - 21,2.16,NSG_2,OverVoltage,1
Line 17 - 18_load=0.9_wind=0.669_0.2119_0.3656,Line 17 - 18,2.16,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9_wind=0.669_0.2119_0.3656,Line 21 - 22,2.27,NSG_2,OverVoltage,1
Line 22 - 23_load=0.9_wind=0.669_0.2119_0.3656,Line 22 - 23,1.63,Line 01 - 39DR2,,5
Line 26 - 29_load=0.9_wind=0.669_0.2119_0.3656,Line 26 - 29,2.35,NSG_2,OverVoltage,1
Line 28 - 29_load=0.9_wind=0.669_0.2119_0.3656,Line 28 - 29,1.81,Line 26 - 29DR1,,20
Line 01 - 39_load=1.0097_wind=0.9622_0.2554_0.9963,Line 01 - 39,2.12,NSG_2,OverVoltage,3
Line 02 - 25_load=1.0097_wind=0.9622_0.2554_0.9963,Line 02 - 25,2.24,NSG_2,OverVoltage,1
Line 03 - 04_load=1.0097_wind=0.9622_0.2554_0.9963,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=1.0097_wind=0.9622_0.2554_0.9963,Line 05 - 08,3.0,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0097_wind=0.9622_0.2554_0.9963,Line 06 - 07,3.05,Line 01 - 39DR2,,4
Line 06 - 11_load=1.0097_wind=0.9622_0.2554_0.9963,Line 06 - 11,3.07,Line 01 - 39DR2,,4
Line 08 - 09_load=1.0097_wind=0.9622_0.2554_0.9963,Line 08 - 09,1.87,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0097_wind=0.9622_0.2554_0.9963,Line 09 - 39,1.94,Line 01 - 02DR1,,4
Line 10 - 11_load=1.0097_wind=0.9622_0.2554_0.9963,Line 10 - 11,3.08,Line 01 - 39DR2,,4
Line 15 - 16_load=1.0097_wind=0.9622_0.2554_0.9963,Line 15 - 16,2.09,NSG_2,OverVoltage,4
Line 16 - 17_load=1.0097_wind=0.9622_0.2554_0.9963,Line 16 - 17,2.35,NSG_2,OverVoltage,1
Line 16 - 19_load=1.0097_wind=0.9622_0.2554_0.9963,Line 16 - 19,1.96,G 04,Over-Speed,20
Line 16 - 21_load=1.0097_wind=0.9622_0.2554_0.9963,Line 16 - 21,2.21,NSG_2,OverVoltage,1
Line 21 - 22_load=1.0097_wind=0.9622_0.2554_0.9963,Line 21 - 22,2.57,NSG_2,OverVoltage,78
Line 26 - 29_load=1.0097_wind=0.9622_0.2554_0.9963,Line 26 - 29,2.37,NSG_2,OverVoltage,1
Line 28 - 29_load=1.0097_wind=0.9622_0.2554_0.9963,Line 28 - 29,1.66,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1961_wind=0.6085_0.5452_0.3813,Line 16 - 19,2.33,G 05,Over-Speed,18
Line 28 - 29_load=1.1961_wind=0.6085_0.5452_0.3813,Line 28 - 29,1.84,Line 26 - 29DR1,,19
Line 01 - 02_load=0.8015_wind=0.6289_0.1922_0.0344,Line 01 - 02,1.87,Line 08 - 09DR1,,4
Line 01 - 39_load=0.8015_wind=0.6289_0.1922_0.0344,Line 01 - 39,2.07,Line 08 - 09DR1,,4
Line 02 - 25_load=0.8015_wind=0.6289_0.1922_0.0344,Line 02 - 25,2.12,NSG_2,OverVoltage,1
Line 08 - 09_load=0.8015_wind=0.6289_0.1922_0.0344,Line 08 - 09,2.76,Line 01 - 39DR2,,3
Line 09 - 39_load=0.8015_wind=0.6289_0.1922_0.0344,Line 09 - 39,2.5,Line 01 - 39DR2,,3
Line 15 - 16_load=0.8015_wind=0.6289_0.1922_0.0344,Line 15 - 16,2.03,NSG_2,OverVoltage,1
Line 16 - 17_load=0.8015_wind=0.6289_0.1922_0.0344,Line 16 - 17,2.25,NSG_2,OverVoltage,1
Line 16 - 19_load=0.8015_wind=0.6289_0.1922_0.0344,Line 16 - 19,1.76,G 05,Over-Speed,1
Line 16 - 21_load=0.8015_wind=0.6289_0.1922_0.0344,Line 16 - 21,2.12,NSG_2,OverVoltage,1
Line 16 - 24_load=0.8015_wind=0.6289_0.1922_0.0344,Line 16 - 24,2.12,NSG_2,OverVoltage,1
Line 17 - 18_load=0.8015_wind=0.6289_0.1922_0.0344,Line 17 - 18,2.09,NSG_2,OverVoltage,1
Line 21 - 22_load=0.8015_wind=0.6289_0.1922_0.0344,Line 21 - 22,2.25,NSG_2,OverVoltage,1
Line 25 - 26_load=0.8015_wind=0.6289_0.1922_0.0344,Line 25 - 26,2.18,NSG_2,OverVoltage,1
Line 26 - 29_load=0.8015_wind=0.6289_0.1922_0.0344,Line 26 - 29,2.29,NSG_2,OverVoltage,1
Line 28 - 29_load=0.8015_wind=0.6289_0.1922_0.0344,Line 28 - 29,2.25,NSG_2,OverVoltage,1
Line 16 - 19_load=1.1822_wind=0.2255_0.1486_0.8895,Line 16 - 19,2.28,G 05,Over-Speed,18
Line 28 - 29_load=1.1822_wind=0.2255_0.1486_0.8895,Line 28 - 29,1.86,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9566_wind=0.4425_0.1582_0.8425,Line 01 - 02,2.02,NSG_2,OverVoltage,3
Line 01 - 39_load=0.9566_wind=0.4425_0.1582_0.8425,Line 01 - 39,1.85,Line 08 - 09DR1,,4
Line 02 - 25_load=0.9566_wind=0.4425_0.1582_0.8425,Line 02 - 25,2.2,NSG_2,OverVoltage,1
Line 03 - 04_load=0.9566_wind=0.4425_0.1582_0.8425,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9566_wind=0.4425_0.1582_0.8425,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9566_wind=0.4425_0.1582_0.8425,Line 05 - 08,3.09,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9566_wind=0.4425_0.1582_0.8425,Line 06 - 07,3.11,Line 01 - 39DR2,,4
Line 06 - 11_load=0.9566_wind=0.4425_0.1582_0.8425,Line 06 - 11,3.12,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9566_wind=0.4425_0.1582_0.8425,Line 07 - 08,1.47,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9566_wind=0.4425_0.1582_0.8425,Line 08 - 09,1.93,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9566_wind=0.4425_0.1582_0.8425,Line 09 - 39,2.05,Line 01 - 02DR1,,4
Line 10 - 13_load=0.9566_wind=0.4425_0.1582_0.8425,Line 10 - 13,1.61,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9566_wind=0.4425_0.1582_0.8425,Line 13 - 14,1.61,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9566_wind=0.4425_0.1582_0.8425,Line 15 - 16,2.05,NSG_2,OverVoltage,4
Line 16 - 17_load=0.9566_wind=0.4425_0.1582_0.8425,Line 16 - 17,2.27,NSG_2,OverVoltage,1
Line 16 - 19_load=0.9566_wind=0.4425_0.1582_0.8425,Line 16 - 19,1.86,G 04,Over-Speed,18
Line 16 - 21_load=0.9566_wind=0.4425_0.1582_0.8425,Line 16 - 21,2.16,NSG_2,OverVoltage,1
Line 16 - 24_load=0.9566_wind=0.4425_0.1582_0.8425,Line 16 - 24,2.14,NSG_2,OverVoltage,1
Line 17 - 18_load=0.9566_wind=0.4425_0.1582_0.8425,Line 17 - 18,2.15,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9566_wind=0.4425_0.1582_0.8425,Line 21 - 22,2.05,Line 23 - 24DR2,,70
Line 25 - 26_load=0.9566_wind=0.4425_0.1582_0.8425,Line 25 - 26,2.23,NSG_2,OverVoltage,1
Line 26 - 28_load=0.9566_wind=0.4425_0.1582_0.8425,Line 26 - 28,2.32,NSG_2,OverVoltage,1
Line 26 - 29_load=0.9566_wind=0.4425_0.1582_0.8425,Line 26 - 29,2.39,NSG_2,OverVoltage,1
Line 28 - 29_load=0.9566_wind=0.4425_0.1582_0.8425,Line 28 - 29,1.65,Line 26 - 29DR1,,19
Line 01 - 02_load=0.8303_wind=0.5983_0.0861_0.718,Line 01 - 02,1.94,Line 08 - 09DR1,,4
Line 01 - 39_load=0.8303_wind=0.5983_0.0861_0.718,Line 01 - 39,2.12,Line 08 - 09DR1,,4
Line 02 - 25_load=0.8303_wind=0.5983_0.0861_0.718,Line 02 - 25,2.14,NSG_2,OverVoltage,1
Line 08 - 09_load=0.8303_wind=0.5983_0.0861_0.718,Line 08 - 09,2.64,Line 01 - 02DR1,,4
Line 09 - 39_load=0.8303_wind=0.5983_0.0861_0.718,Line 09 - 39,2.8,Line 01 - 39DR2,,3
Line 15 - 16_load=0.8303_wind=0.5983_0.0861_0.718,Line 15 - 16,2.04,NSG_2,OverVoltage,1
Line 16 - 17_load=0.8303_wind=0.5983_0.0861_0.718,Line 16 - 17,2.35,NSG_2,OverVoltage,1
Line 16 - 19_load=0.8303_wind=0.5983_0.0861_0.718,Line 16 - 19,1.81,G 05,Over-Speed,1
Line 16 - 21_load=0.8303_wind=0.5983_0.0861_0.718,Line 16 - 21,2.2,NSG_2,OverVoltage,1
Line 28 - 29_load=0.8303_wind=0.5983_0.0861_0.718,Line 28 - 29,2.24,NSG_2,OverVoltage,1
Line 01 - 02_load=1.1365_wind=0.6058_0.8364_0.9636,Line 01 - 02,1.84,Line 08 - 09DR1,,4
Line 01 - 39_load=1.1365_wind=0.6058_0.8364_0.9636,Line 01 - 39,2.06,Line 08 - 09DR1,,4
Line 02 - 03_load=1.1365_wind=0.6058_0.8364_0.9636,Line 02 - 03,1.45,Line 01 - 39DR2,,5
Line 08 - 09_load=1.1365_wind=0.6058_0.8364_0.9636,Line 08 - 09,2.59,Line 01 - 02DR1,,4
Line 09 - 39_load=1.1365_wind=0.6058_0.8364_0.9636,Line 09 - 39,2.92,Line 01 - 39DR2,,3
Line 16 - 19_load=1.1365_wind=0.6058_0.8364_0.9636,Line 16 - 19,2.13,G 05,Over-Speed,18
Line 21 - 22_load=1.1365_wind=0.6058_0.8364_0.9636,Line 21 - 22,2.45,NSG_2,OverVoltage,34
Line 28 - 29_load=1.1365_wind=0.6058_0.8364_0.9636,Line 28 - 29,1.73,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1174_wind=0.6827_0.0092_0.3827,Line 16 - 19,2.05,G 05,Over-Speed,18
Line 28 - 29_load=1.1174_wind=0.6827_0.0092_0.3827,Line 28 - 29,1.78,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0143_wind=0.852_0.2922_0.4058,Line 01 - 02,1.65,Line 08 - 09DR1,,3
Line 02 - 03_load=1.0143_wind=0.852_0.2922_0.4058,Line 02 - 03,4.53,Line 01 - 39DR2,,4
Line 02 - 25_load=1.0143_wind=0.852_0.2922_0.4058,Line 02 - 25,2.24,NSG_2,OverVoltage,12
Line 03 - 04_load=1.0143_wind=0.852_0.2922_0.4058,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 03 - 18_load=1.0143_wind=0.852_0.2922_0.4058,Line 03 - 18,3.07,Line 01 - 39DR2,,4
Line 04 - 05_load=1.0143_wind=0.852_0.2922_0.4058,Line 04 - 05,1.46,Line 01 - 39DR2,,5
Line 04 - 14_load=1.0143_wind=0.852_0.2922_0.4058,Line 04 - 14,3.0,Line 01 - 39DR2,,4
Line 05 - 06_load=1.0143_wind=0.852_0.2922_0.4058,Line 05 - 06,2.98,Line 01 - 39DR2,,4
Line 05 - 08_load=1.0143_wind=0.852_0.2922_0.4058,Line 05 - 08,2.97,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0143_wind=0.852_0.2922_0.4058,Line 06 - 07,2.98,Line 01 - 39DR2,,5
Line 06 - 11_load=1.0143_wind=0.852_0.2922_0.4058,Line 06 - 11,3.03,Line 01 - 39DR2,,4
Line 07 - 08_load=1.0143_wind=0.852_0.2922_0.4058,Line 07 - 08,2.97,Line 01 - 39DR2,,5
Line 08 - 09_load=1.0143_wind=0.852_0.2922_0.4058,Line 08 - 09,1.88,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0143_wind=0.852_0.2922_0.4058,Line 09 - 39,1.97,Line 01 - 02DR1,,4
Line 10 - 11_load=1.0143_wind=0.852_0.2922_0.4058,Line 10 - 11,2.99,Line 01 - 39DR2,,4
Line 10 - 13_load=1.0143_wind=0.852_0.2922_0.4058,Line 10 - 13,1.73,Line 01 - 39DR2,,4
Line 13 - 14_load=1.0143_wind=0.852_0.2922_0.4058,Line 13 - 14,2.99,Line 01 - 39DR2,,4
Line 14 - 15_load=1.0143_wind=0.852_0.2922_0.4058,Line 14 - 15,3.02,Line 01 - 39DR2,,4
Line 15 - 16_load=1.0143_wind=0.852_0.2922_0.4058,Line 15 - 16,2.07,NSG_2,OverVoltage,4
Line 16 - 17_load=1.0143_wind=0.852_0.2922_0.4058,Line 16 - 17,1.96,Line 01 - 39DR2,,5
Line 16 - 19_load=1.0143_wind=0.852_0.2922_0.4058,Line 16 - 19,1.84,G 04,Over-Speed,20
Line 16 - 21_load=1.0143_wind=0.852_0.2922_0.4058,Line 16 - 21,2.19,NSG_2,OverVoltage,1
Line 16 - 24_load=1.0143_wind=0.852_0.2922_0.4058,Line 16 - 24,2.97,Line 01 - 39DR2,,4
Line 17 - 18_load=1.0143_wind=0.852_0.2922_0.4058,Line 17 - 18,2.21,NSG_2,OverVoltage,1
Line 21 - 22_load=1.0143_wind=0.852_0.2922_0.4058,Line 21 - 22,2.16,Line 23 - 24DR2,,77
Line 22 - 23_load=1.0143_wind=0.852_0.2922_0.4058,Line 22 - 23,3.03,Line 01 - 39DR2,,4
Line 23 - 24_load=1.0143_wind=0.852_0.2922_0.4058,Line 23 - 24,3.12,Line 01 - 39DR2,,4
Line 25 - 26_load=1.0143_wind=0.852_0.2922_0.4058,Line 25 - 26,3.11,Line 01 - 39DR2,,4
Line 26 - 27_load=1.0143_wind=0.852_0.2922_0.4058,Line 26 - 27,2.95,Line 01 - 39DR2,,4
Line 26 - 28_load=1.0143_wind=0.852_0.2922_0.4058,Line 26 - 28,4.55,Line 01 - 39DR2,,4
Line 26 - 29_load=1.0143_wind=0.852_0.2922_0.4058,Line 26 - 29,2.35,NSG_2,OverVoltage,1
Line 28 - 29_load=1.0143_wind=0.852_0.2922_0.4058,Line 28 - 29,1.68,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1457_wind=0.5724_0.1901_0.0412,Line 16 - 19,2.12,G 05,Over-Speed,18
Line 28 - 29_load=1.1457_wind=0.5724_0.1901_0.0412,Line 28 - 29,1.82,Line 26 - 29DR1,,19
Line 01 - 02_load=1.057_wind=0.7942_0.7935_0.3446,Line 01 - 02,1.65,Line 08 - 09DR1,,3
Line 01 - 39_load=1.057_wind=0.7942_0.7935_0.3446,Line 01 - 39,1.74,Line 08 - 09DR1,,3
Line 02 - 03_load=1.057_wind=0.7942_0.7935_0.3446,Line 02 - 03,2.92,Line 01 - 39DR2,,4
Line 02 - 25_load=1.057_wind=0.7942_0.7935_0.3446,Line 02 - 25,2.27,NSG_2,OverVoltage,84
Line 03 - 04_load=1.057_wind=0.7942_0.7935_0.3446,Line 03 - 04,1.46,Line 01 - 39DR2,,4
Line 03 - 18_load=1.057_wind=0.7942_0.7935_0.3446,Line 03 - 18,3.05,Line 01 - 39DR2,,4
Line 04 - 05_load=1.057_wind=0.7942_0.7935_0.3446,Line 04 - 05,1.7,Line 01 - 39DR2,,4
Line 04 - 14_load=1.057_wind=0.7942_0.7935_0.3446,Line 04 - 14,3.03,Line 01 - 39DR2,,4
Line 05 - 06_load=1.057_wind=0.7942_0.7935_0.3446,Line 05 - 06,2.98,Line 01 - 39DR2,,4
Line 05 - 08_load=1.057_wind=0.7942_0.7935_0.3446,Line 05 - 08,2.97,Line 01 - 39DR2,,5
Line 06 - 07_load=1.057_wind=0.7942_0.7935_0.3446,Line 06 - 07,2.98,Line 01 - 39DR2,,4
Line 06 - 11_load=1.057_wind=0.7942_0.7935_0.3446,Line 06 - 11,3.06,Line 01 - 39DR2,,4
Line 07 - 08_load=1.057_wind=0.7942_0.7935_0.3446,Line 07 - 08,2.96,Line 01 - 39DR2,,5
Line 08 - 09_load=1.057_wind=0.7942_0.7935_0.3446,Line 08 - 09,1.89,Line 01 - 02DR1,,4
Line 09 - 39_load=1.057_wind=0.7942_0.7935_0.3446,Line 09 - 39,1.98,Line 01 - 02DR1,,4
Line 10 - 11_load=1.057_wind=0.7942_0.7935_0.3446,Line 10 - 11,3.0,Line 01 - 39DR2,,4
Line 10 - 13_load=1.057_wind=0.7942_0.7935_0.3446,Line 10 - 13,2.96,Line 01 - 39DR2,,4
Line 13 - 14_load=1.057_wind=0.7942_0.7935_0.3446,Line 13 - 14,2.99,Line 01 - 39DR2,,4
Line 14 - 15_load=1.057_wind=0.7942_0.7935_0.3446,Line 14 - 15,3.02,Line 01 - 39DR2,,4
Line 15 - 16_load=1.057_wind=0.7942_0.7935_0.3446,Line 15 - 16,2.14,NSG_2,OverVoltage,21
Line 16 - 17_load=1.057_wind=0.7942_0.7935_0.3446,Line 16 - 17,2.42,NSG_2,OverVoltage,18
Line 16 - 19_load=1.057_wind=0.7942_0.7935_0.3446,Line 16 - 19,1.93,G 04,Over-Speed,20
Line 16 - 21_load=1.057_wind=0.7942_0.7935_0.3446,Line 16 - 21,2.24,NSG_2,OverVoltage,18
Line 16 - 24_load=1.057_wind=0.7942_0.7935_0.3446,Line 16 - 24,2.92,Line 01 - 39DR2,,5
Line 22 - 23_load=1.057_wind=0.7942_0.7935_0.3446,Line 22 - 23,3.02,Line 01 - 39DR2,,4
Line 23 - 24_load=1.057_wind=0.7942_0.7935_0.3446,Line 23 - 24,3.09,Line 01 - 39DR2,,4
Line 25 - 26_load=1.057_wind=0.7942_0.7935_0.3446,Line 25 - 26,3.07,Line 01 - 39DR2,,4
Line 26 - 27_load=1.057_wind=0.7942_0.7935_0.3446,Line 26 - 27,2.93,Line 01 - 39DR2,,4
Line 26 - 28_load=1.057_wind=0.7942_0.7935_0.3446,Line 26 - 28,3.22,Line 01 - 39DR2,,4
Line 26 - 29_load=1.057_wind=0.7942_0.7935_0.3446,Line 26 - 29,2.44,NSG_2,OverVoltage,18
Line 28 - 29_load=1.057_wind=0.7942_0.7935_0.3446,Line 28 - 29,1.7,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0494_wind=0.6432_0.5779_0.9051,Line 01 - 02,1.64,Line 08 - 09DR1,,3
Line 01 - 39_load=1.0494_wind=0.6432_0.5779_0.9051,Line 01 - 39,2.05,NSG_2,OverVoltage,3
Line 02 - 03_load=1.0494_wind=0.6432_0.5779_0.9051,Line 02 - 03,4.59,Line 01 - 39DR2,,4
